Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
,"Tucson, AZ, United States",64.34,27.66,47.15,61.91,65.88,83.69
,"Houston, TX, United States",63.94,43.38,54.3,61.26,67.45,172.98
,"Mesa, AZ, United States",63.66,32.99,49.28,63.2,72.07,103.42
,"Albuquerque, NM, United States",63.44,33.91,49.6,64.6,64.07,122.44
,"Lexington, KY, United States",62.92,29.27,47.15,69.21,55.65,102.4
,"San Antonio, TX, United States",62.59,38.27,51.19,57.25,69.45,137.67
,"Tulsa, OK, United States",62.35,28.92,46.68,58.89,60.48,132.05
,"Memphis, TN, United States",62.29,34.91,49.45,58.08,69.54,109.95
,"Akron, OH, United States",62.2,22.9,43.78,63.55,55.56,102.89
,"Little Rock, AR, United States",59.26,25.6,43.48,57.28,64.63,131.07
,"Wichita, KS, United States",58.92,24.26,42.67,53.08,57.42,119.24
,"El Paso, TX, United States",55.92,23.17,40.56,54.45,48.18,118.77
